name;origin;destination;length;oneway;harassmentRisk;geometry
Calle 10A;(-75.5677178, 6.2104026);(-75.5684309, 6.210675);84.447;True;0.3021730539710254;LINESTRING (-75.5677178 6.2104026, -75.5682175 6.2105935, -75.5684309 6.210675)
Calle 10A;(-75.5647792, 6.2091073);(-75.5648667, 6.2091722);12.068;True;0.3021730539710254;LINESTRING (-75.5647792 6.2091073, -75.5648667 6.2091722)
Carrera 34;(-75.5647792, 6.2091073);(-75.5647375, 6.2091742);8.751;True;0.3021730539710254;LINESTRING (-75.5647792 6.2091073, -75.56473750000001 6.2091742)
Carrera 34;(-75.5646123, 6.2094204);(-75.5640909, 6.2104329);126.496;True;0.3021730539710254;LINESTRING (-75.56461229999999 6.2094204, -75.5643357 6.2099683, -75.5641834 6.2102675, -75.5640909 6.2104329)
Calle 44;(-75.5805063, 6.247958);(-75.5790161, 6.2474342);174.713;True;;LINESTRING (-75.5805063 6.247958, -75.57945580000001 6.2475884, -75.5790161 6.2474342)
;(-75.6014659, 6.2310518);(-75.6014671, 6.2310902);4.272;False;0.8654775754094889;LINESTRING (-75.60146589999999 6.2310518, -75.60146709999999 6.2310902)
Calle 30;(-75.6014659, 6.2310518);(-75.601329, 6.2310585);15.151;True;0.8310521911719851;LINESTRING (-75.60146589999999 6.2310518, -75.60132900000001 6.2310585)
Carrera 69B;(-75.5902306, 6.2315159);(-75.5905469, 6.2310127);66.446;True;0.7630480022338112;LINESTRING (-75.5902306 6.2315159, -75.5903041 6.2314349, -75.5903581 6.2313643, -75.5904015 6.2313027, -75.5904369 6.2312469, -75.5904707 6.2311763, -75.59049589999999 6.2311176, -75.59052269999999 6.2310576, -75.59054690000001 6.2310127)
Calle 30;(-75.5902306, 6.2315159);(-75.5893312, 6.2314641);99.799;True;;LINESTRING (-75.5902306 6.2315159, -75.5901147 6.2315165, -75.5900472 6.2315123, -75.5899871 6.231508, -75.5899005 6.2314948, -75.5898191 6.2314812, -75.58971529999999 6.2314687, -75.58963660000001 6.2314628, -75.58957820000001 6.2314622, -75.5893312 6.2314641)
Carrera 76;(-75.5952757, 6.2499304);(-75.5953725, 6.2491833);83.76;False;0.6461288819387261;LINESTRING (-75.5952757 6.2499304, -75.59531749999999 6.2496025, -75.5953725 6.2491833)
Calle 44;(-75.5952757, 6.2499304);(-75.5945747, 6.2498373);78.174;True;0.6461288819387261;LINESTRING (-75.5952757 6.2499304, -75.5948721 6.2498747, -75.5945747 6.2498373)
Carrera 41;(-75.5684921, 6.2106979);(-75.5687387, 6.2100506);76.966;True;0.3021730539710254;LINESTRING (-75.5684921 6.2106979, -75.5687387 6.2100506)
Calle 10A;(-75.5684921, 6.2106979);(-75.5689008, 6.2108414);47.914;True;0.3021730539710254;LINESTRING (-75.5684921 6.2106979, -75.56890079999999 6.2108414)
Calle 10A;(-75.5689008, 6.2108414);(-75.569105, 6.2109221);24.291;True;0.3021730539710254;LINESTRING (-75.56890079999999 6.2108414, -75.56910499999999 6.2109221)
;(-75.569105, 6.2109221);(-75.56929, 6.211039);24.232;True;0.3021730539710254;LINESTRING (-75.56910499999999 6.2109221, -75.56929 6.211039)
